id,class,D_sum,D_count,D_mean,D_squarred_difference,D_standard_error,D_max,D_min,K_sum,K_count,K_mean,K_squarred_difference,K_standard_error,K_max,K_min
0,,-405.7762865649654,2756.500000000069,0.0,371.0383743499605,0.0,-2.053801369312351e-06,-0.8148340801817823,-367.0865749608677,1338.9999999999907,0.0,137.04089725755048,0.0,-6.324865459570491e-06,-0.8799493883444374
1,,-665.3064695594807,2913.8333333334144,0.0,117.7479585679033,0.0,-3.195634488903012e-08,-0.8101059259871588,-164.95841477595786,1236.1666666666663,0.0,40.737794043206975,0.0,-2.474554504163154e-07,-0.7298619757507537
2,,-349.8028072257239,2779.8333333334017,0.0,145.56092294447697,0.0,-5.14690829564046e-07,-0.7503585186142823,-226.38275784907387,1319.6666666666572,0.0,58.973844380694736,0.0,-8.738447427326369e-07,-0.8097866995694436
3,,-451.00412730866867,2890.3333333334126,0.0,66.45826128967887,0.0,-1.918231480051957e-06,-0.7507173931122954,-135.5026832515298,1255.9999999999943,0.0,24.595507568943216,0.0,-7.686410432845916e-07,-0.6096366927299104
4,,-445.6593265591913,2794.0000000000755,0.0,389.4995196157347,0.0,-5.177765821508455e-07,-0.766155732766543,-381.0584824941063,1352.3333333333246,0.0,145.77336468466845,0.0,-8.311080764021466e-07,-0.8976333401754649
5,,-859.1439854704596,2883.0000000000805,0.0,182.60570064095091,0.0,-6.660497096032556e-07,-0.9547743834706302,-188.8470749232198,1179.1666666666729,0.0,64.6094514831432,0.0,-2.59520995723017e-07,-0.7762831848072917
6,,-771.0712818544682,2936.666666666746,0.0,149.52664508576643,0.0,-8.200151236160134e-07,-0.8258202309172968,-188.29685548006253,1238.9999999999998,0.0,52.48054059859082,0.0,-7.104034524874124e-07,-0.7565939549461397
7,,-867.9053909366086,2864.1666666667543,0.0,164.97524262233912,0.0,-2.737598463104388e-06,-0.855759219062397,-180.34633439335002,1187.5000000000057,0.0,54.75939942125054,0.0,-3.5230207172496346e-06,-0.6928661275662061
8,,-729.7047615937072,2891.0000000000828,0.0,146.1829421970472,0.0,-1.4400274561690542e-07,-0.9449190569799087,-182.51632598582728,1239.166666666667,0.0,52.415277255152255,0.0,-3.5034073582563753e-06,-0.8255185496144077
9,,-410.7336953433087,2774.833333333413,0.0,342.46613592150294,0.0,-5.479720519510452e-07,-0.7849263394950556,-358.4015118349109,1345.6666666666567,0.0,128.3647268652376,0.0,-1.5162707040794037e-05,-0.8816008503563382
10,,-804.7036123594523,2892.3333333334185,0.0,155.50198775728367,0.0,-1.8066459913305835e-07,-0.7990238261859186,-197.91410852461013,1223.1666666666674,0.0,61.70704928587698,0.0,-4.0758939208253153e-07,-0.6965922330482368
11,,-390.98195023311376,2766.8333333334103,0.0,345.07065954135106,0.0,-1.5081399955987648e-06,-0.8034895589227083,-352.9060269809605,1339.9999999999907,0.0,127.46316478571738,0.0,-1.543913349645628e-06,-0.8582715336860889
12,,-822.3319097084735,2911.8333333334085,0.0,167.88273723835042,0.0,-2.941106128013584e-08,-0.8451592220234176,-188.1997693390562,1224.9999999999986,0.0,57.82140955912123,0.0,-8.080889819619709e-07,-0.8662737791439892
13,,-416.4775565337294,2819.8333333334213,0.0,92.57999892863265,0.0,-8.336749769970558e-07,-0.8234668072777018,-184.3088095297866,1258.8333333333323,0.0,42.880588363979065,0.0,-1.1673230612997221e-06,-0.7407975981150353
14,,-363.1939756542351,2806.8333333334103,0.0,261.8596922116563,0.0,-9.204449766617462e-09,-0.723442726783178,-310.0839166971997,1352.4999999999916,0.0,101.54651723626021,0.0,-8.143231911972388e-08,-0.7492355311551092
15,,-811.6384110648332,2909.8333333334112,0.0,151.8587036483443,0.0,-1.1778538638449562e-06,-0.8433616477186063,-192.38303679365455,1200.833333333338,0.0,58.66372043929849,0.0,-1.3783578920839894e-06,-0.7598606948918928
16,,-404.6238256827078,2866.333333333414,0.0,135.6449017240277,0.0,-5.313901898778821e-07,-0.8611400568743428,-222.5482072054391,1295.9999999999948,0.0,56.491594873518814,0.0,-1.0745965674962652e-06,-0.8715891503301577
17,,-388.8320487536366,2787.3333333333994,0.0,251.8262425453884,0.0,-1.5741244314949316e-07,-0.5993437776459181,-307.47500003343265,1339.8333333333255,0.0,98.03199886450636,0.0,-1.706340681744579e-07,-0.7424821633447767
18,,-383.42057356607603,2869.6666666667484,0.0,55.09495925114351,0.0,-3.88202751585779e-07,-0.8065167805897003,-129.71477876121867,1264.8333333333314,0.0,21.926634510325187,0.0,-3.7064612691709e-06,-0.7623622377494124
19,,-362.2648367352039,2764.333333333407,0.0,183.36486956130207,0.0,-1.053769977702145e-06,-0.9066324218637986,-251.47895689630406,1290.1666666666617,0.0,70.0905866034413,0.0,-7.068598833546792e-07,-0.6475882223503574
20,,-336.7561814785298,2872.333333333408,0.0,68.83789684771973,0.0,-1.7598823789215445e-08,-0.7746398765751615,-164.856132143755,1303.6666666666615,0.0,32.413479006646845,0.0,-1.0234129541283704e-06,-0.8525131193464335
21,,-418.45178914255285,2785.500000000069,0.0,456.5372356079831,0.0,-3.718150858263577e-06,-0.7283067629016623,-410.7052701615218,1361.8333333333242,0.0,159.59246762285355,0.0,-7.995746548706372e-07,-0.8411451500513987
22,,-405.47405558385765,2778.666666666747,0.0,334.40647881290727,0.0,-7.240877756933331e-08,-0.8867778664247494,-341.18370700988856,1335.833333333323,0.0,128.1206279790878,0.0,-4.119144455928688e-07,-0.8516209269131576
23,,-732.941239817298,2863.833333333412,0.0,150.78125554122786,0.0,-4.6398493120783554e-08,-0.866762670317441,-165.35219579554715,1204.3333333333374,0.0,48.30586453365492,0.0,-1.2186558563242976e-06,-0.7695723405421899
