iter	CrossEntropy
0	0.6915318604
1	0.6899144287
2	0.6883355713
3	0.686756958
4	0.6852017822
5	0.683633667
6	0.682036499
7	0.680519104
8	0.6790778809
9	0.6776179199
10	0.6760540771
11	0.674616272
12	0.673161499
13	0.671756958
14	0.6703511353
15	0.668942749
16	0.6674724121
17	0.6661068115
18	0.6646810913
19	0.6632753906
20	0.661888916
21	0.6605496826
22	0.6591763306
23	0.6577755737
24	0.656447876
25	0.6551260376
26	0.6537623901
27	0.6524805908
28	0.6512052002
29	0.6499914551
30	0.6486505127
31	0.6473991699
32	0.6461469116
33	0.6449252319
34	0.6437095947
35	0.6425041504
36	0.6413013916
37	0.6400480347
38	0.6388537598
39	0.6376306152
40	0.6364831543
41	0.6352966309
42	0.6341044922
43	0.6330357666
44	0.6318712769
45	0.6307840576
46	0.6297196045
47	0.6286331787
48	0.6274827881
49	0.6264158936
50	0.6253092041
51	0.6241831055
52	0.6231398926
53	0.6220089111
54	0.6209029541
55	0.6198647461
56	0.6188406982
57	0.617819458
58	0.6168800049
59	0.6158483887
60	0.6148216553
61	0.6138035889
62	0.6128633423
63	0.6119033203
64	0.6109067383
65	0.6099637451
66	0.6090227051
67	0.6080792847
68	0.6071033936
69	0.6062075195
70	0.6052400513
71	0.6042660522
72	0.603335083
73	0.6025032959
74	0.6015908203
75	0.6007149048
76	0.5998295898
77	0.5990189819
78	0.5981791992
79	0.5973564453
80	0.5964956665
81	0.5956704102
82	0.5948183594
83	0.5940001221
84	0.5931998291
85	0.5924272461
86	0.5916091309
87	0.5908001709
88	0.5899816895
89	0.5891732788
90	0.5883305054
91	0.5875101318
92	0.5866943359
93	0.5859421997
94	0.5851791992
95	0.5843653564
96	0.5836422119
97	0.5828757324
98	0.5821409912
99	0.5813723145
100	0.5806275024
101	0.5798781738
102	0.5791903076
103	0.5784364624
104	0.5777816772
105	0.5770454102
106	0.576286377
107	0.5755657959
108	0.5748356323
109	0.5741748047
110	0.5735091553
111	0.5728286133
112	0.5721566162
113	0.5714862061
114	0.5707835083
115	0.5700760498
116	0.5694417725
117	0.5687706909
118	0.5681125488
119	0.5674606323
120	0.5667941895
121	0.5661994629
122	0.5655792236
123	0.5649688721
124	0.5643627319
125	0.5637530518
126	0.5631392822
127	0.5624807129
128	0.5618912354
129	0.5612730713
130	0.5606678467
131	0.5600870361
132	0.559484314
133	0.5588644409
134	0.5583267822
135	0.5577509766
136	0.5571689453
137	0.5565700073
138	0.5560212402
139	0.5554683228
140	0.5549693604
141	0.5543834839
142	0.5538165283
143	0.5532418213
144	0.5527425537
145	0.5522394409
146	0.551744873
147	0.5512386475
148	0.5507268066
149	0.5502516479
150	0.5497612915
151	0.5492828369
152	0.5487792969
153	0.5483082886
154	0.5478238525
155	0.5473088379
156	0.5468466797
157	0.5463739014
158	0.5458920288
159	0.545418457
160	0.5449364014
161	0.5444395752
162	0.543960022
163	0.5435112305
164	0.5430184937
165	0.5425604248
166	0.5421455078
167	0.5416746216
168	0.5412067261
169	0.5407418213
170	0.5403136597
171	0.5398607178
172	0.539435791
173	0.5389830933
174	0.5385732422
175	0.5381036377
176	0.5376498413
177	0.537208374
178	0.5367556763
179	0.5362852783
180	0.5359013062
181	0.5354987183
182	0.5350994263
183	0.5347038574
184	0.5343082275
185	0.5339125366
186	0.5335614624
187	0.5331739502
188	0.5328223267
189	0.5324310303
190	0.5320036621
191	0.5316149902
192	0.5312304688
193	0.5308704834
194	0.5304851685
195	0.5301003418
196	0.5297528076
197	0.5294055176
198	0.5290571289
199	0.5286591797
200	0.5282815552
201	0.5279224854
202	0.5275662842
203	0.5271813965
204	0.5267959595
205	0.5264395752
206	0.5260227661
207	0.525651062
208	0.5252906494
209	0.5249539795
210	0.5245836792
211	0.5242461548
212	0.5239042969
213	0.5235760498
214	0.5232192993
215	0.5228726807
216	0.5225717773
217	0.5222016602
218	0.5218746338
219	0.5215842285
220	0.5212385864
221	0.5209243164
222	0.5205788574
223	0.5202526855
224	0.5199419556
225	0.5196166992
226	0.5193410034
227	0.5190587769
228	0.5187381592
229	0.5184310303
230	0.5181505737
231	0.5178787231
232	0.517581665
233	0.5173195801
234	0.5170686646
235	0.5167701416
236	0.5164969482
237	0.5162285156
238	0.5159217529
239	0.5156083374
240	0.5153198242
241	0.5150319824
242	0.5147347412
243	0.5145001831
244	0.5142358398
245	0.5139931641
246	0.5137133789
247	0.5134399414
248	0.5131526489
249	0.5128950195
250	0.5126431885
251	0.5123640137
252	0.5120882568
253	0.5118339233
254	0.5115776062
255	0.5112898865
256	0.5110732727
257	0.5108442383
258	0.5105623474
259	0.5103370972
260	0.5101146851
261	0.5098876343
262	0.5096463928
263	0.5094408569
