id,class,D_sum,D_count,D_mean,K_sum,K_count,K_mean
0,,-405.7762865649654,2756.500000000069,0.0,-367.0865749608677,1338.9999999999907,0.0
1,,-665.3064695594807,2913.8333333334144,0.0,-164.95841477595786,1236.1666666666663,0.0
2,,-349.8028072257239,2779.8333333334017,0.0,-226.38275784907387,1319.6666666666572,0.0
3,,-451.00412730866867,2890.3333333334126,0.0,-135.5026832515298,1255.9999999999943,0.0
4,,-445.6593265591913,2794.0000000000755,0.0,-381.0584824941063,1352.3333333333246,0.0
5,,-859.1439854704596,2883.0000000000805,0.0,-188.8470749232198,1179.1666666666729,0.0
6,,-771.0712818544682,2936.666666666746,0.0,-188.29685548006253,1238.9999999999998,0.0
7,,-867.9053909366086,2864.1666666667543,0.0,-180.34633439335002,1187.5000000000057,0.0
8,,-729.7047615937072,2891.0000000000828,0.0,-182.51632598582728,1239.166666666667,0.0
9,,-410.7336953433087,2774.833333333413,0.0,-358.4015118349109,1345.6666666666567,0.0
10,,-804.7036123594523,2892.3333333334185,0.0,-197.91410852461013,1223.1666666666674,0.0
11,,-390.98195023311376,2766.8333333334103,0.0,-352.9060269809605,1339.9999999999907,0.0
12,,-822.3319097084735,2911.8333333334085,0.0,-188.1997693390562,1224.9999999999986,0.0
13,,-416.4775565337294,2819.8333333334213,0.0,-184.3088095297866,1258.8333333333323,0.0
14,,-363.1939756542351,2806.8333333334103,0.0,-310.0839166971997,1352.4999999999916,0.0
15,,-811.6384110648332,2909.8333333334112,0.0,-192.38303679365455,1200.833333333338,0.0
16,,-404.6238256827078,2866.333333333414,0.0,-222.5482072054391,1295.9999999999948,0.0
17,,-388.8320487536366,2787.3333333333994,0.0,-307.47500003343265,1339.8333333333255,0.0
18,,-383.42057356607603,2869.6666666667484,0.0,-129.71477876121867,1264.8333333333314,0.0
19,,-362.2648367352039,2764.333333333407,0.0,-251.47895689630406,1290.1666666666617,0.0
20,,-336.7561814785298,2872.333333333408,0.0,-164.856132143755,1303.6666666666615,0.0
21,,-418.45178914255285,2785.500000000069,0.0,-410.7052701615218,1361.8333333333242,0.0
22,,-405.47405558385765,2778.666666666747,0.0,-341.18370700988856,1335.833333333323,0.0
23,,-732.941239817298,2863.833333333412,0.0,-165.35219579554715,1204.3333333333374,0.0
24,,-567.4532715389315,2926.333333333404,0.0,-193.55186337447816,1284.1666666666592,0.0
25,,-445.5150163647021,2828.0000000000764,0.0,-349.5536340771836,1356.4999999999936,0.0
26,,-326.7325509948567,2783.6666666667356,0.0,-257.9764945287036,1347.9999999999925,0.0
27,,-632.3348339628535,2864.000000000085,0.0,-150.44753387998762,1195.3333333333392,0.0
28,,-468.16333889312585,2892.166666666748,0.0,-198.91978446251738,1278.1666666666629,0.0
29,,-329.7919237403382,2789.166666666746,0.0,-275.20151096955874,1335.833333333326,0.0
30,,-670.4810914515962,2869.6666666667425,0.0,-164.5878389686628,1206.5000000000011,0.0
31,,-378.2486236348553,2833.1666666667497,0.0,-212.87698591315882,1305.666666666662,0.0
32,,-890.7297854977296,2900.500000000085,0.0,-188.62865124542063,1190.5000000000064,0.0
33,,-338.132785033685,2858.833333333407,0.0,-171.43631091538444,1320.166666666659,0.0
34,,-762.533064691621,2875.5000000000937,0.0,-160.78914512122344,1181.833333333338,0.0
35,,-522.0041780256455,2948.0000000000855,0.0,-153.71675631327443,1252.3333333333323,0.0
36,,-553.6069264858297,2887.8333333334167,0.0,-151.2966832080752,1244.8333333333317,0.0
37,,-604.4169806625733,2862.5000000000787,0.0,-156.41803729666427,1211.5000000000014,0.0
38,,-348.46914947325865,2741.6666666667343,0.0,-349.81865364993683,1337.833333333325,0.0
39,,-386.1708917011319,2916.0000000000923,0.0,-174.77692324369497,1286.6666666666629,0.0
40,,-412.9825362177823,2809.666666666742,0.0,-373.0693878371808,1353.9999999999914,0.0
41,,-379.2192563377911,2749.833333333411,0.0,-323.2815257648591,1330.3333333333258,0.0
42,,-415.29570453452453,2807.500000000072,0.0,-345.25918525103765,1358.6666666666588,0.0
43,,-392.4158189099426,2905.5000000000773,0.0,-189.42117673032539,1297.4999999999923,0.0
44,,-374.08694639361715,2823.0000000000705,0.0,-306.82301339402824,1351.9999999999889,0.0
45,,-301.59843350035607,2748.500000000078,0.0,-169.37328320337411,1264.9999999999961,0.0
46,,-286.1290409665574,2741.666666666738,0.0,-223.55265594797103,1319.66666666666,0.0
47,,-419.27962863240134,2808.166666666741,0.0,-373.08943270158215,1357.3333333333253,0.0
48,,-354.3162027309992,2805.5000000000728,0.0,-210.71646236178987,1303.1666666666608,0.0
49,,-306.4202214086034,2799.5000000000764,0.0,-252.49851501036122,1351.3333333333264,0.0
50,,-436.7850766534997,2876.166666666746,0.0,-230.59621800650922,1302.4999999999948,0.0
51,,-460.4141682250208,2958.6666666667456,0.0,-150.30493931624477,1283.3333333333283,0.0
52,,-401.5254759343762,2729.1666666667297,0.0,-351.82244339561674,1309.333333333326,0.0
53,,-454.0464827230299,2764.0000000000814,0.0,-417.80841887958053,1357.3333333333264,0.0
54,,-405.11097970615583,2878.000000000079,0.0,-149.29115204326564,1277.499999999997,0.0
55,,-875.97556693201,2904.833333333413,0.0,-211.09426648322395,1203.500000000004,0.0
56,,-429.4433423715621,2851.500000000075,0.0,-261.1186953898404,1338.6666666666579,0.0
57,,-422.6373685077793,2768.166666666734,0.0,-332.91686983571793,1311.4999999999948,0.0
58,,-491.7876354842519,2913.6666666667466,0.0,-120.78713227033795,1224.3333333333335,0.0
59,,-433.19935191816455,2748.0000000000687,0.0,-376.48175484302374,1321.8333333333253,0.0
60,,-379.30962079226487,2797.000000000077,0.0,-288.37797154608313,1328.6666666666606,0.0
61,,-276.6094066133618,2839.5000000000796,0.0,-122.84486247015765,1262.8333333333308,0.0
